Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,
"Reclaim",1,10613,Common,EX,120/143,No
"Whirler Rogue",4,57927,Uncommon,ORI,83/272,Yes
"Whirler Rogue",1,57926,Uncommon,ORI,83/272,No
"Abundant Growth",4,60755,Common,EMA,156/249,No
"Accumulated Knowledge",4,13867,Common,NE,26/143,No
"Acorn Harvest",4,17295,Common,TOR,118/143,No
"Acrobatic Maneuver",4,61579,Common,KLD,1/264,No
"Adarkar Valkyrie",4,24643,Rare,CSP,1/155,No
"Aegis Automaton",4,62835,Common,AER,141/184,No
"Aerial Modification",4,62601,Uncommon,AER,1/184,No
"Aerial Responder",4,61889,Uncommon,KLD,2/264,No
"Aeronaut Admiral",4,62591,Uncommon,AER,2/184,No
"Aeronaut Tinkerer",4,53684,Common,M15,43/269,No
"Aether Adept",4,41299,Common,M12,41/249,No
"Aether Chaser",4,62715,Common,AER,76/184,No
"Aether Herder",4,62767,Common,AER,102/184,No
"Aether Inspector",4,62575,Common,AER,3/184,No
"Aether Poisoner",4,62663,Common,AER,51/184,No
"Aether Theorist",4,61893,Common,KLD,37/264,No
"Aether Tradewinds",4,61653,Common,KLD,38/264,No
"Aetherborn Marauder",4,61675,Uncommon,KLD,71/264,No
"Aethersquall Ancient",4,61903,Rare,KLD,39/264,No
"Aetherstorm Roc",4,62093,Rare,KLD,3/264,No
"Aetherstream Leopard",4,62769,Common,AER,103/184,No
"Aethertide Whale",4,62651,Rare,AER,27/184,No
"Aethertorch Renegade",4,61973,Uncommon,KLD,106/264,No
"Agony Warp",4,57098,Uncommon,MM2,170/249,No
"Airdrop Aeronauts",4,62595,Uncommon,AER,5/184,No
"Ajani's Presence",4,52202,Common,JOU,2/165,No
"Ajani's Pridemate",3,53334,Uncommon,M15,2/269,No
"Ajani's Pridemate",1,51090,Uncommon,C13,3/356,No
"Akoum Battlesinger",4,35781,Common,WWK,71/145,No
"Akrasan Squire",4,31031,Common,ALA,1/249,No
"Alley Evasion",4,62581,Common,AER,6/184,No
"Alley Strangler",4,62665,Common,AER,52/184,No
"Ally Encampment",4,58569,Rare,BFZ,228/274,No
"Alpha Myr",4,19967,Common,MRD,142/306,No
"Alpha Status",4,18667,Uncommon,SCG,110/143,Yes
"Always Watching",4,60276,Rare,SOI,1/297,No
"Ancestral Mask",4,60947,Uncommon,EMA,157/249,No
"Ancient Den",4,20015,Common,MRD,278/306,No
"Ancient Grudge",4,25539,Common,TSP,143/301,No
"Ancient Stirrings",4,36374,Common,ROE,174/248,No
"Angel of Glory's Rise",4,43869,Rare,AVR,1/244,No
"Angelic Purge",4,59756,Common,SOI,3/297,No
"Anguished Unmaking",4,60088,Rare,SOI,242/297,No
"Animate Dead",4,43142,Uncommon,PD3,16/30,Yes
"Animate Land",4,13757,Uncommon,NE,101/143,No
"Animation Module",4,62055,Rare,KLD,194/264,No
"Annul",4,19703,Common,MRD,29/306,No
"Ant Queen",4,57144,Rare,MM2,139/249,No
"Apostle's Blessing",4,39684,Common,NPH,2/175,No
"Appetite for the Unnatural",4,61741,Common,KLD,141/264,No
"Aradara Express",4,61781,Common,KLD,195/264,No
"Arbor Elf",4,35773,Common,WWK,95/145,No
"Arc Lightning",4,12065,Common,UZ,174/350,No
"Arcane Denial",4,28095,Common,MED,31/195,No
"Archaeomancer",4,45496,Common,M13,41/249,No
"Architect of the Untamed",4,62015,Rare,KLD,143/264,No
"Architects of Will",4,32322,Common,ARB,17/145,No
"Arctic Flats",4,24589,Uncommon,CSP,143/155,No
"Ardent Recruit",4,39437,Common,MBS,2/155,No
"Armadillo Cloak",4,52891,Uncommon,VMA,242/325,No
"Armorcraft Judge",4,61725,Uncommon,KLD,144/264,No
"Artful Dodge",4,43403,Common,DKA,27/158,No
"Artisan of Kozilek",4,36362,Uncommon,ROE,2/248,No
"Assault Griffin",4,37532,Common,M11,6/249,No
"Assault Strobe",4,37997,Common,SOM,82/249,No
"Asylum Visitor",4,60324,Rare,SOI,99/297,No
"Atog",4,19797,Uncommon,MRD,86/306,No
"Audacious Infiltrator",4,62567,Common,AER,7/184,No
"Augmenting Automaton",4,62843,Common,AER,143/184,No
"Aura Flux",4,12497,Common,UL,27/143,No
"Aura Gnarlid",4,36432,Common,ROE,175/248,No
"Auramancer",4,41347,Common,M12,9/249,No
"Auriok Steelshaper",4,19781,Rare,MRD,4/306,No
"Auriok Sunchaser",4,38199,Common,SOM,4/249,No
"Autumnal Gloom",4,60398,Uncommon,SOI,194/297,No
"Avacyn's Judgment",4,60086,Rare,SOI,145/297,No
"Azorius Chancery",2,57474,Uncommon,MM2,235/249,No
"Azorius Chancery",1,51490,Common,C13,274/356,No
"Azorius Chancery",1,24027,Common,DIS,170/180,No
"Baloth Woodcrasher",4,34348,Uncommon,ZEN,157/249,No
"Banisher Priest",4,49569,Uncommon,M14,7/249,No
"Banishing Knack",4,30154,Common,EVE,17/180,No
"Barren Moor",2,40682,Common,CMD,266/318,No
"Barren Moor",2,18239,Common,ONS,312/350,No
"Barricade Breaker",4,62881,Uncommon,AER,144/184,No
"Basking Rootwalla",4,52963,Common,VMA,196/325,No
"Bastion Enforcer",4,62571,Common,AER,8/184,No
"Bastion Inventor",4,62615,Common,AER,30/184,No
"Battlegrace Angel",4,31253,Rare,ALA,6/249,No
"Beastmaster Ascension",4,34818,Rare,ZEN,159/249,No
"Beckon Apparition",4,47869,Common,GTC,212/249,No
"Become Immense",4,54400,Uncommon,KTK,130/269,No
"Bioshift",4,47577,Common,GTC,214/249,No
"Birchlore Rangers",4,18115,Common,ONS,248/350,No
"Black Cat",3,53378,Common,M15,86/269,No
"Black Cat",1,43157,Common,DKA,54/158,No
"Bladed Pinions",4,38163,Common,SOM,140/249,No
"Blessed Spirits",4,57832,Uncommon,ORI,7/272,No
"Blight Mamba",4,38013,Common,SOM,112/249,No
"Blighted Agent",4,39748,Common,NPH,29/175,No
"Blinking Spirit",4,22295,Rare,9ED,8/350,No
"Blisterpod",4,58451,Common,BFZ,163/274,No
"Blood Seeker",4,41261,Common,M12,81/249,No
"Bloodcrazed Neonate",4,42816,Common,ISD,131/264,No
"Bloodhall Priest",4,61478,Rare,EMN,181/205,No
"Blossoming Defense",4,62027,Uncommon,KLD,146/264,No
"Blossoming Sands",4,54472,Common,KTK,231/269,No
"Blunt the Assault",4,38145,Common,SOM,113/249,No
"Bog Imp",4,22541,Common,9ED,116/350,No
"Bojuka Bog",4,35515,Common,WWK,132/145,No
"Bonds of Faith",4,42358,Common,ISD,5/264,No
"Bonesplitter",4,19829,Common,MRD,146/306,No
"Boon of Emrakul",4,61382,Common,EMN,81/205,No
"Boon Satyr",4,50136,Rare,THS,152/249,No
"Boreal Shelf",4,24629,Uncommon,CSP,144/155,No
"Boros Charm",4,47477,Uncommon,GTC,148/249,No
"Boros Elite",4,47533,Uncommon,GTC,7/249,No
"Boros Garrison",3,57426,Uncommon,MM2,237/249,No
"Boros Garrison",1,40725,Common,CMD,268/318,No
"Boros Recruit",4,23362,Common,RAV,243/306,No
"Boros Swiftblade",4,57422,Uncommon,MM2,172/249,No
"Borrowed Grace",4,61092,Common,EMN,14/205,No
"Borrowed Hostility",4,61418,Common,EMN,121/205,No
"Borrowed Malevolence",4,61162,Common,EMN,82/205,No
"Brain in a Jar",4,59778,Rare,SOI,252/297,No
"Brainstorm",4,53117,Common,VMA,58/325,No
"Brave the Elements",4,34540,Uncommon,ZEN,4/249,No
"Brazen Scourge",4,61583,Uncommon,KLD,107/264,No
"Brazen Wolves",4,61206,Common,EMN,122/205,No
"Breakneck Rider",4,59780,Uncommon,SOI,147/297,No
"Broken Concentration",4,59976,Uncommon,SOI,50/297,No
"Brute Force",4,48614,Common,MMA,107/229,No
"Built to Last",4,61623,Common,KLD,7/264,No
"Built to Smash",4,61697,Common,KLD,108/264,No
"Buried Alive",4,43124,Uncommon,PD3,20/30,Yes
"Bygone Bishop",4,60212,Rare,SOI,8/297,No
"Call for Unity",4,62605,Rare,AER,9/184,No
"Call the Bloodline",4,60198,Uncommon,SOI,103/297,No
"Callous Deceiver",4,21193,Common,CHK,53/306,No
"Cancel",4,31299,Common,ALA,33/249,No
"Capsize",3,36040,Common,PRM,232/1158,No
"Capsize",1,9641,Common,TE,55/350,No
"Captured by the Consulate",4,61629,Rare,KLD,8/264,No
"Carapace Forger",4,38201,Common,SOM,114/249,No
"Carrier Thrall",4,58565,Uncommon,BFZ,106/274,No
"Catacomb Sifter",4,58485,Uncommon,BFZ,201/274,No
"Cathars' Crusade",1,54999,Rare,C14,67/337,No
"Cathars' Crusade",3,44231,Rare,AVR,10/244,No
"Cathartic Reunion",4,61699,Common,KLD,109/264,No
"Cathedral of War",4,45215,Rare,PRM,1011/1158,No
"Cathedral Sanctifier",4,44053,Common,AVR,11/244,No
"Caught in the Brights",4,62579,Common,AER,10/184,No
"Celestial Flare",4,49381,Common,M14,12/249,No
"Celestial Purge",4,57122,Uncommon,MM2,11/249,No
"Cemetery Reaper",4,41183,Rare,M12,86/249,No
"Cemetery Recruitment",4,61170,Common,EMN,83/205,No
"Cenn's Enlistment",4,30118,Common,EVE,3/180,No
"Centaur's Herald",4,46621,Common,RTR,118/274,No
"Chain Lightning",4,52911,Common,VMA,153/325,No
"Champion of the Parish",4,42828,Rare,ISD,6/264,No
"Chandra's Pyrohelix",4,61709,Common,KLD,111/264,No
"Chandra's Revolution",4,62723,Common,AER,77/184,No
"Channel",4,52851,Mythic Rare,VMA,200/325,No
"Chatter of the Squirrel",4,16607,Common,OD,233/350,No
"Chief Engineer",4,53638,Rare,M15,47/269,No
"Chief of the Foundry",3,61569,Uncommon,KLD,200/264,No
"Chief of the Foundry",1,58118,Uncommon,ORI,225/272,No
"Child of Night",1,53784,Common,M15,90/269,No
"Child of Night",3,33089,Common,M10,88/249,No
"Chittering Rats",4,20387,Common,DST,39/165,No
"Choking Sands",4,52605,Common,VMA,109/325,No
"Chorus of Might",4,46635,Common,RTR,119/274,No
"Chromatic Sphere",4,19891,Common,MRD,151/306,No
"Chromatic Star",4,25809,Common,TSP,251/301,No
"Circle of Protection: Black",4,22949,Uncommon,9ED,10/350,No
"Circle of Protection: Green",4,19295,Uncommon,8ED,12/350,No
"Circle of Protection: Red",4,9675,Common,TE,11/350,No
"Cloudblazer",4,62035,Uncommon,KLD,176/264,No
"Cloudfin Raptor",4,47523,Common,GTC,32/249,No
"Cloudshift",4,43887,Common,AVR,12/244,No
"Coat of Arms",1,56959,Rare,TPR,218/269,Yes
"Coat of Arms",1,32678,Rare,M10,207/249,Yes
"Coat of Arms",2,32677,Rare,M10,207/249,No
"Codex Shredder",4,46457,Uncommon,RTR,228/274,No
"Cogwork Assembler",4,62877,Uncommon,AER,145/184,No
"Cogworker's Puzzleknot",4,61791,Common,KLD,201/264,No
"Cold-Eyed Selkie",4,30120,Rare,EVE,149/180,No
"Collective Effort",4,61094,Rare,EMN,17/205,No
"Combust",4,37372,Uncommon,M11,130/249,No
"Commencement of Festivities",4,62003,Common,KLD,148/264,No
"Commune with the Gods",4,50592,Common,THS,155/249,No
"Complete Disregard",4,58585,Common,BFZ,90/274,No
"Compulsive Research",4,23294,Common,RAV,40/306,No
"Condemn",4,27739,Uncommon,10E,13/383,No
"Condescend",4,20838,Common,5DN,27/165,No
"Confirm Suspicions",4,60328,Rare,SOI,53/297,No
"Conspiracy",4,26131,Rare,TSB,39/121,No
"Consulate Crackdown",4,62607,Rare,AER,11/184,No
"Consulate Dreadnought",4,62883,Uncommon,AER,146/184,No
"Consulate Surveillance",4,61595,Uncommon,KLD,10/264,No
"Consulate Turret",4,62893,Common,AER,147/184,No
"Consul's Shieldguard",4,61865,Uncommon,KLD,11/264,No
"Consuming Aberration",4,47899,Rare,GTC,152/249,No
"Contaminated Bond",4,22811,Common,9ED,120/350,No
"Contingency Plan",4,61112,Common,EMN,52/205,No
"Contraband Kingpin",4,61765,Uncommon,KLD,177/264,No
"Conviction",4,62583,Common,AER,12/184,No
"Copper Myr",4,19981,Common,MRD,158/306,No
"Coral Barrier",4,53520,Common,M15,49/269,No
"Coral Net",4,17127,Common,TOR,35/143,No
"Corpse Cur",4,38081,Common,SOM,147/249,No
"Corpsejack Menace",4,46495,Rare,RTR,152/274,No
"Corrupt",4,29419,Uncommon,SHM,62/301,No
"Counterspell",1,52827,Common,VMA,64/325,No
"Counterspell",3,15436,Common,7E,67/350,No
"Countless Gears Renegade",4,62569,Common,AER,13/184,No
"Courageous Outrider",4,61320,Uncommon,EMN,18/205,No
"Covenant of Blood",4,53686,Common,M15,91/269,No
"Crack the Earth",4,21839,Common,BOK,98/165,No
"Crackdown Construct",4,62901,Uncommon,AER,148/184,No
"Cranial Plating",4,20824,Common,5DN,113/165,No
"Crash of Rhinos",4,6873,Common,MI,210/350,No
"Creeping Mold",4,61753,Uncommon,KLD,150/264,No
"Crippling Blight",4,53424,Common,M15,92/269,No
"Crop Sigil",4,61464,Uncommon,EMN,153/205,No
"Crow of Dark Tidings",4,59970,Common,SOI,105/297,No
"Crucible of the Spirit Dragon",4,55382,Rare,FRF,167/185,No
"Cruel Finality",4,62675,Common,AER,54/184,No
"Crumbling Vestige",4,59321,Common,OGW,170/184,No
"Crypt Incursion",4,48404,Common,DGM,23/156,No
"Cryptolith Rite",4,59792,Rare,SOI,200/297,No
"Cult of the Waxing Moon",4,59808,Uncommon,SOI,201/297,No
"Cultivate",1,40606,Common,CMD,148/318,No
"Cultivate",3,37350,Common,M11,168/249,No
"Cultivator of Blades",4,62023,Rare,KLD,151/264,No
"Curfew",4,12037,Common,UZ,68/350,No
"Curse of Chains",4,29461,Common,SHM,139/301,No
"Curse of the Bloody Tome",4,42536,Common,ISD,50/264,No
"Curse of the Pierced Heart",4,42830,Common,ISD,138/264,No
"Cursecatcher",4,29829,Uncommon,SHM,34/301,No
"Dakra Mystic",4,52104,Uncommon,JOU,35/165,No
"Daredevil Dragster",4,62903,Uncommon,AER,149/184,No
"Daring Demolition",4,62679,Common,AER,55/184,No
"Dark Banishing",4,18943,Common,8ED,123/350,No
"Darkblast",4,23170,Uncommon,RAV,82/306,No
"Darksteel Citadel",2,53774,Uncommon,M15,242/269,No
"Darksteel Citadel",2,20497,Common,DST,164/165,No
"Darksteel Myr",4,38225,Uncommon,SOM,151/249,No
"Dawnfeather Eagle",4,62577,Common,AER,14/184,No
"Dawn's Reflection",4,20836,Common,5DN,85/165,No
"Deadeye Harpooner",4,62589,Uncommon,AER,15/184,No
"Deadshot Minotaur",4,32270,Common,ARB,52/145,No
"Death Wind",4,44137,Common,AVR,93/244,No
"Deathbringer Thoctar",4,32402,Rare,ARB,36/145,No
"Deathcap Cultivator",4,59932,Rare,SOI,202/297,No
"Decommission",4,62585,Common,AER,16/184,No
"Deep Analysis",3,52953,Common,VMA,65/325,No
"Deep Analysis",1,51138,Common,C13,38/356,No
"Defeat",4,56020,Common,DTK,97/264,No
"Defiant Salvager",4,62667,Common,AER,56/184,No
"Deflecting Palm",4,54454,Rare,KTK,173/269,No
"Deft Dismissal",4,62599,Uncommon,AER,17/184,No
"Delver of Secrets",4,42436,Common,ISD,51/264,No
"Demonic Collusion",4,25781,Rare,TSP,103/301,No
"Demonic Dread",4,32440,Common,ARB,38/145,No
"Demystify",4,17695,Common,ONS,24/350,No
"Deprive",4,36492,Common,ROE,59/248,No
"Deranged Whelp",4,61182,Uncommon,EMN,125/205,No
"Desperate Ritual",4,21529,Common,CHK,163/306,No
"Desperate Sentry",4,61504,Common,EMN,21/205,No
"Destructive Revelry",4,50428,Uncommon,THS,192/249,No
"Destructive Tampering",4,62727,Common,AER,78/184,No
"Devoted Druid",4,29305,Common,SHM,110/301,No
"Devour Flesh",4,47837,Common,GTC,63/249,No
"Dhund Operative",4,61669,Common,KLD,74/264,No
"Diabolic Edict",4,56452,Common,TPR,102/269,No
"Diabolic Servitude",4,43106,Uncommon,PD3,22/30,Yes
"Dimir Aqueduct",4,23192,Common,RAV,276/306,No
"Dimir Guildgate",1,51250,Common,C13,284/356,No
"Dimir Guildgate",3,48380,Common,DGM,148/156,No
"Diregraf Captain",4,43315,Uncommon,DKA,135/158,No
"Diregraf Colossus",4,60034,Rare,SOI,107/297,No
"Disappearing Act",4,61639,Uncommon,KLD,43/264,No
"Disciple of the Vault",1,20204,Common,MRD,62/306,Yes
"Disciple of the Vault",3,20203,Common,MRD,62/306,No
"Disentomb",1,45309,Common,M13,89/249,Yes
"Disentomb",3,37220,Common,M11,94/249,No
"Disfigure",4,34450,Common,ZEN,87/249,No
"Dismal Backwater",1,55520,Common,FRF,168/185,No
"Dismal Backwater",3,54466,Common,KTK,232/269,No
"Dispatch",4,39862,Uncommon,NPH,7/175,No
"Dispel",4,58363,Common,BFZ,76/274,No
"Dispersal Technician",4,62621,Common,AER,32/184,No
"Displace",4,61330,Common,EMN,55/205,No
"Distant Melody",4,29172,Common,MOR,32/150,No
"Distemper of the Blood",4,61184,Common,EMN,126/205,No
"Distortion Strike",4,36732,Common,ROE,60/248,No
"Docent of Perfection",4,61132,Rare,EMN,56/205,No
"Dogpile",4,23498,Common,RAV,120/306,No
"Doom Blade",1,40560,Common,CMD,78/318,No
"Doom Blade",3,32793,Common,M10,93/249,No
"Doomed Traveler",4,42650,Common,ISD,11/264,No
"Door of Destinies",2,31963,Rare,PRM,143/1158,No
"Door of Destinies",2,29222,Rare,MOR,143/150,No
"Drag Under",4,61104,Common,EMN,57/205,No
"Dragon Fodder",4,31003,Common,ALA,97/249,No
"Dragonlord's Servant",4,55885,Promo,PRM,/1158,Yes
"Dragon's Claw",4,20607,Uncommon,DST,117/165,No
"Dragonskull Summit",4,37242,Rare,M11,223/249,No
"Dragonspeaker Shaman",4,18907,Uncommon,SCG,89/143,Yes
"Dramatic Reversal",4,61915,Common,KLD,44/264,No
"Dread Return",4,43150,Uncommon,PD3,23/30,Yes
"Dream Stalker",4,25439,Common,TSP,58/301,No
"Drill-Skimmer",4,20299,Common,DST,118/165,No
"Drogskol Shieldmate",4,61306,Uncommon,EMN,22/205,No
"Dross Scorpion",4,20037,Common,MRD,164/306,No
"Drowned Catacomb",4,45314,Rare,M13,223/249,No
"Drownyard Behemoth",4,61108,Uncommon,EMN,4/205,No
"Druid of the Cowl",4,62761,Common,AER,106/184,No
"Dual Shot",4,60268,Common,SOI,153/297,No
"Dubious Challenge",4,62025,Rare,KLD,152/264,No
"Dukhara Peafowl",4,61819,Common,KLD,207/264,No
"Dukhara Scavenger",4,61685,Common,KLD,77/264,No
"Duplicant",4,20215,Rare,MRD,165/306,No
"Durable Handicraft",4,62005,Uncommon,KLD,153/264,No
"Duress",4,43116,Common,PD3,13/30,Yes
"Duskmantle Guildmage",4,47461,Uncommon,GTC,158/249,No
"Duskwatch Recruiter",4,60300,Uncommon,SOI,203/297,No
"Dust to Dust",4,27955,Common,MED,10/195,No
"Dutiful Attendant",4,56186,Common,DTK,99/264,No
"Dwynen's Elite",4,58074,Uncommon,ORI,173/272,No
"Earth Rift",4,16631,Common,OD,189/350,No
"Earthen Arms",4,58645,Common,BFZ,172/274,No
"Echoing Decay",1,20368,Common,DST,41/165,Yes
"Echoing Decay",3,20367,Common,DST,41/165,No
"Echoing Truth",4,20363,Common,DST,21/165,No
"Eddytrail Hawk",4,61863,Common,KLD,12/264,No
"Eerie Interlude",4,60282,Rare,SOI,16/297,No
"Efficient Construction",4,62643,Uncommon,AER,33/184,No
"Eldrazi Mimic",4,59389,Rare,OGW,2/184,No
"Electrickery",4,46339,Common,RTR,93/274,No
"Electrolyze",4,23629,Uncommon,GPT,111/165,No
"Elemental Mastery",4,29463,Rare,SHM,90/301,No
"Eliminate the Competition",4,61933,Rare,KLD,78/264,No
"Elixir of Immortality",3,41321,Uncommon,M12,208/249,No
"Elixir of Immortality",1,37695,Uncommon,DDF,62/79,No
"Elusive Tormentor",4,60380,Rare,SOI,108/297,No
"Elvish Archdruid",1,45327,Rare,M13,168/249,Yes
"Elvish Archdruid",3,32885,Rare,M10,176/249,No
"Elvish Mystic",4,49499,Common,M14,169/249,No
"Elvish Pioneer",4,19649,Common,8ED,243/350,No
"Elvish Vanguard",4,60813,Common,EMA,164/249,No
"Elvish Visionary",4,32701,Common,M10,178/249,No
"Embraal Gear-Smasher",4,62735,Common,AER,79/184,No
"Empty the Warrens",4,25535,Common,TSP,152/301,No
"Empyreal Voyager",4,62033,Uncommon,KLD,180/264,No
"Emrakul's Evangel",4,61500,Rare,EMN,156/205,No
"Emrakul's Influence",4,61254,Uncommon,EMN,157/205,No
"Enduring Renewal",4,26047,Rare,TSB,7/121,No
"Enfeeblement",4,22261,Common,9ED,127/350,No
"Engineered Might",4,61771,Uncommon,KLD,181/264,No
"Enrage",4,22747,Uncommon,9ED,180/350,No
"Enraged Giant",4,62719,Uncommon,AER,80/184,No
"Enshrouding Mist",4,57826,Common,ORI,13/272,No
"Ensoul Artifact",4,53602,Uncommon,M15,54/269,No
"Ensouled Scimitar",4,20778,Uncommon,5DN,119/165,No
"Epiphany at the Drownyard",4,60084,Rare,SOI,59/297,No
"Era of Innovation",4,61571,Uncommon,KLD,45/264,No
"Eradicate",4,21797,Uncommon,BOK,65/165,No
"Erdwal Illuminator",4,60284,Uncommon,SOI,60/297,No
"Erratic Mutation",4,26359,Common,PLC,41/165,No
"Essence Extraction",4,61695,Uncommon,KLD,80/264,No
"Essence Flux",4,59774,Uncommon,SOI,61/297,No
"Essence Scatter",4,32647,Common,M10,51/249,No
"Essence Warden",4,26281,Common,PLC,145/165,No
"Etched Champion",4,38437,Rare,SOM,154/249,No
"Eternal Scourge",4,61066,Rare,EMN,7/205,No
"Ethereal Armor",4,46571,Common,RTR,9/274,No
"Etherium Sculptor",4,48810,Common,MMA,44/229,No
"Ethersworn Canonist",4,37899,Rare,TD0,B3/41,No
"Ever After",4,60296,Rare,SOI,109/297,No
"Evolving Wilds",3,53316,Common,M15,243/269,No
"Evolving Wilds",1,45366,Common,M13,224/249,No
"Excommunicate",4,31343,Common,ALA,11/249,No
"Exhume",4,43102,Common,PD3,17/30,Yes
"Expedition Envoy",4,58563,Uncommon,BFZ,24/274,No
"Expedition Map",4,34832,Common,ZEN,201/249,No
"Experiment One",4,47547,Uncommon,GTC,119/249,No
"Experimental Aviator",4,61911,Uncommon,KLD,46/264,No
"Expose Evil",4,60100,Common,SOI,19/297,No
"Extricator of Sin",4,61316,Uncommon,EMN,23/205,No
"Exultant Cultist",4,61128,Common,EMN,59/205,No
"Fabrication Module",4,62049,Uncommon,KLD,211/264,No
"Faceless Butcher",4,43132,Common,PD3,3/30,Yes
"Fade Away",4,10723,Common,EX,34/143,No
"Faerie Conclave",4,27116,Uncommon,10E,351/383,No
"Faerie Miscreant",4,57886,Common,ORI,57/272,No
"Failed Inspection",4,61659,Common,KLD,47/264,No
"Fairgrounds Trumpeter",4,62011,Uncommon,KLD,155/264,No
"Fairgrounds Warden",4,61621,Uncommon,KLD,13/264,No
"Faithbearer Paladin",4,61314,Common,EMN,25/205,No
"Faithless Looting",4,43267,Common,DKA,87/158,No
"Faith's Fetters",4,23020,Common,RAV,16/306,No
"Falkenrath Reaver",4,61214,Common,EMN,127/205,No
"Fanatic of Xenagos",1,54560,Promo,PRM,/1158,Yes
"Fanatic of Xenagos",1,54559,Promo,PRM,/1158,No
"Fanatic of Xenagos",2,51865,Uncommon,BNG,147/165,No
"Fangren Marauder",4,39331,Common,MBS,79/155,No
"Fateful Showdown",4,61993,Rare,KLD,114/264,No
"Fatestitcher",4,31362,Uncommon,ALA,43/249,No
"Fear",4,22553,Common,9ED,129/350,No
"Feebleness",4,25455,Common,TSP,110/301,No
"Feed the Clan",4,54390,Common,KTK,132/269,No
"Felidar Guardian",4,62593,Uncommon,AER,19/184,No
"Fen Hauler",4,62671,Common,AER,58/184,No
"Fertile Ground",4,19095,Common,8ED,248/350,No
"Fervent Cathar",4,43995,Common,AVR,135/244,No
"Fervor",4,45372,Rare,M13,129/249,No
"Festering Goblin",4,22713,Common,9ED,130/350,No
"Festival of the Guildpact",4,23112,Uncommon,RAV,17/306,No
"Fevered Visions",4,59764,Rare,SOI,244/297,No
"Field Creeper",4,61274,Common,EMN,195/205,No
"Fiend Binder",4,61078,Common,EMN,26/205,No
"Fiend Hunter",4,42368,Uncommon,ISD,15/264,No
"Fiery Bombardment",4,30158,Rare,EVE,52/180,No
